product_id,category,brand,season,size,color,original_price,markdown_percentage,current_price,purchase_date,stock_quantity,customer_rating,is_returned,return_reason,return_date
FB000028,Bottoms,Uniqlo,Winter,S,Beige,107.46,18.9,87.15,2024-01-10,4,3.4,False,,
FB000029,Outerwear,Banana Republic,Summer,XL,White,166.0,0.0,166.0,2024-03-11,22,3.9,False,,
FB000030,Shoes,Uniqlo,Fall,L,Purple,152.57,19.8,122.36,2025-06-25,41,3.9,True,Color Mismatch,2025-07-05
FB000031,Dresses,Banana Republic,Fall,M,Black,201.25,23.1,154.76,2025-09-11,18,3.6,True,Changed Mind,2025-09-18
FB000032,Dresses,Uniqlo,Winter,M,Green,65.69,9.2,59.65,2024-12-07,0,3.6,False,,
FB000033,Dresses,Uniqlo,Fall,XXL,Gray,143.79,5.1,136.46,2025-12-08,4,4.1,False,,
FB000034,Outerwear,Zara,Spring,XL,Purple,105.18,0.0,105.18,2025-01-08,19,3.0,False,,
FB000035,Accessories,Ann Taylor,Fall,XXL,White,58.35,13.4,50.53,2025-09-27,26,2.6,False,,
FB000036,Bottoms,Mango,Fall,L,Green,51.52,55.6,22.87,2025-11-16,26,3.7,False,,
FB000037,Bottoms,Uniqlo,Fall,XXL,Black,75.91,0.0,75.91,2024-08-15,30,3.9,False,,
FB000038,Tops,Ann Taylor,Spring,S,White,22.37,0.0,22.37,2024-10-12,21,4.8,False,,
FB000039,Shoes,Ann Taylor,Winter,XXL,Purple,92.98,0.0,92.98,2024-07-01,16,3.9,False,,
FB000040,Shoes,Zara,Summer,XL,Blue,95.31,28.7,67.96,2024-04-28,32,3.2,True,Color Mismatch,2024-05-05
FB000041,Shoes,Zara,Winter,XS,Purple,188.09,15.8,158.37,2025-11-17,47,2.6,True,Size Issue,2025-12-09
FB000042,Shoes,Ann Taylor,Summer,XXL,Pink,121.14,26.5,89.04,2024-10-29,44,3.8,False,,
FB000043,Bottoms,Forever21,Winter,XXL,Red,103.86,0.0,103.86,2024-01-01,35,4.7,False,,
FB000044,Bottoms,Forever21,Spring,L,Gray,83.06,0.0,83.06,2024-06-22,30,3.0,False,,
FB000045,Shoes,Ann Taylor,Summer,S,Beige,89.67,22.9,69.14,2024-09-07,2,3.6,False,,
FB000046,Outerwear,Banana Republic,Winter,L,Beige,177.86,27.7,128.59,2024-09-06,25,4.0,True,Damaged,2024-09-07
FB000047,Accessories,Forever21,Fall,S,Purple,45.2,18.8,36.7,2025-04-12,7,3.5,False,,
FB000048,Tops,Ann Taylor,Winter,XL,Purple,62.67,48.9,32.02,2025-05-01,10,4.4,False,,
FB000049,Bottoms,Uniqlo,Winter,XXL,White,62.95,0.0,62.95,2024-08-28,18,4.2,False,,
FB000050,Shoes,Banana Republic,Fall,S,White,101.29,0.0,101.29,2024-03-06,13,3.0,False,,
FB000051,Shoes,Gap,Winter,XS,White,173.26,16.5,144.67,2024-01-21,44,4.0,False,,
FB000052,Outerwear,Forever21,Winter,XS,Navy,130.76,18.4,106.7,2025-07-05,26,4.3,False,,
FB000053,Outerwear,H&M,Winter,S,Pink,154.09,0.0,154.09,2025-11-15,21,3.7,False,,
FB000054,Tops,Mango,Winter,S,Brown,73.41,51.8,35.38,2024-01-28,42,3.1,True,Changed Mind,2024-02-25
FB000055,Tops,Mango,Summer,M,Blue,52.74,10.1,47.41,2024-10-11,24,4.5,False,,
FB000056,Tops,Uniqlo,Summer,L,Green,94.9,0.0,94.9,2024-08-17,22,3.1,False,,
FB000057,Dresses,Zara,Summer,S,White,192.67,8.6,176.1,2025-11-16,30,3.4,True,Quality Issue,2025-12-01
FB000058,Dresses,Uniqlo,Spring,S,Brown,153.23,22.3,119.06,2024-11-14,10,4.1,True,Size Issue,2024-12-14
FB000059,Shoes,Forever21,Winter,XXL,White,52.16,32.5,35.21,2025-12-14,6,4.6,False,,
FB000060,Dresses,Banana Republic,Summer,M,Purple,122.82,12.6,107.34,2024-01-13,21,4.6,False,,
FB000061,Tops,Banana Republic,Winter,M,Beige,109.16,7.3,101.19,2025-06-18,11,3.5,False,,
FB000062,Shoes,Gap,Winter,L,Brown,82.94,56.6,36.0,2024-10-12,5,4.6,False,,
FB000063,Bottoms,Gap,Winter,M,Green,89.32,0.0,89.32,2024-08-05,31,3.7,False,,
FB000064,Shoes,Ann Taylor,Spring,XL,Pink,128.93,7.9,118.74,2025-02-20,15,3.8,False,,
FB000065,Bottoms,Gap,Winter,L,Green,41.17,0.0,41.17,2024-09-06,44,3.6,False,,
FB000066,Outerwear,Ann Taylor,Winter,XL,Purple,138.44,51.0,67.84,2025-12-20,22,4.5,False,,
FB000067,Shoes,Uniqlo,Fall,XS,White,90.49,39.0,55.2,2024-07-08,44,2.5,True,Changed Mind,2024-07-17
FB000068,Dresses,Uniqlo,Summer,S,Pink,88.67,0.0,88.67,2025-12-26,0,3.4,False,,
FB000069,Shoes,Zara,Summer,XL,Pink,151.59,0.0,151.59,2025-05-17,48,4.6,True,Size Issue,2025-06-05
FB000070,Shoes,Gap,Winter,L,Navy,69.5,0.0,69.5,2024-04-26,30,4.1,False,,
FB000071,Tops,Gap,Summer,XL,Beige,88.65,0.0,88.65,2024-11-07,36,4.8,False,,
FB000072,Bottoms,Banana Republic,Winter,XL,Brown,124.89,0.0,124.89,2025-01-24,33,4.4,False,,
FB000073,Tops,Uniqlo,Winter,M,Brown,82.1,16.1,68.88,2024-07-31,48,3.6,False,,
FB000074,Shoes,Banana Republic,Fall,S,Red,128.32,0.0,128.32,2025-04-06,26,4.4,False,,
FB000075,Tops,Uniqlo,Summer,S,Pink,90.7,29.1,64.31,2024-08-27,43,4.5,False,,
FB000076,Dresses,H&M,Winter,XS,Purple,88.22,0.0,88.22,2024-05-25,17,3.1,True,Size Issue,2024-06-04
FB000077,Outerwear,Uniqlo,Winter,XS,Gray,197.08,38.9,120.42,2025-07-06,32,3.6,False,,
FB000078,Accessories,Zara,Winter,XXL,Navy,54.24,0.0,54.24,2025-11-21,14,3.4,False,,
FB000079,Outerwear,Zara,Spring,XL,Green,209.73,0.0,209.73,2025-10-29,33,4.6,False,,
FB000080,Shoes,Mango,Winter,XXL,Gray,195.05,11.1,173.4,2025-11-17,20,4.8,True,Size Issue,2025-12-01
FB000081,Dresses,Gap,Spring,XXL,Blue,188.31,11.8,166.09,2024-09-15,20,4.8,False,,
FB000082,Tops,Zara,Winter,L,Green,38.76,16.3,32.44,2025-03-28,40,3.2,False,,
FB000083,Bottoms,Uniqlo,Fall,M,Gray,135.7,5.4,128.37,2025-09-15,40,4.2,False,,
FB000084,Dresses,Mango,Spring,XL,Green,143.88,0.0,143.88,2025-04-17,7,4.8,False,,
FB000085,Dresses,Mango,Winter,XXL,Pink,136.51,0.0,136.51,2025-04-28,30,3.5,True,Size Issue,2025-05-11
FB000086,Bottoms,Mango,Summer,M,Blue,70.79,25.3,52.88,2024-10-16,0,4.4,False,,
FB000087,Outerwear,Gap,Fall,L,Purple,162.34,0.0,162.34,2025-07-10,48,3.1,False,,
FB000088,Shoes,H&M,Fall,XL,Blue,77.37,20.9,61.2,2025-04-29,47,4.1,False,,
FB000089,Tops,Forever21,Fall,L,Green,32.62,46.6,17.42,2025-03-26,6,4.0,True,Color Mismatch,2025-03-27
FB000090,Dresses,Mango,Winter,XXL,Red,62.72,25.3,46.85,2025-12-10,39,3.9,True,Size Issue,2025-12-21
FB000091,Dresses,Forever21,Spring,XXL,Gray,198.31,0.0,198.31,2024-08-28,4,4.2,False,,
FB000092,Shoes,H&M,Summer,L,Black,161.66,22.0,126.09,2025-12-11,10,3.8,True,Size Issue,2025-12-13
FB000093,Shoes,Zara,Spring,M,Navy,108.91,0.0,108.91,2025-08-02,26,4.3,False,,
FB000094,Bottoms,Mango,Fall,XS,Brown,134.5,8.6,122.93,2024-05-26,37,4.1,False,,
FB000095,Dresses,Uniqlo,Winter,M,Beige,51.6,38.0,31.99,2025-07-13,43,2.4,True,Quality Issue,2025-07-25
FB000096,Outerwear,Uniqlo,Winter,XXL,Pink,157.66,0.0,157.66,2025-05-09,24,3.9,True,Size Issue,2025-05-21
FB000097,Outerwear,Uniqlo,Spring,XS,Beige,147.29,0.0,147.29,2024-02-20,43,4.4,False,,
FB000098,Dresses,Gap,Spring,S,Brown,186.33,0.0,186.33,2025-09-27,12,4.3,False,,
FB000099,Dresses,Mango,Summer,XXL,Beige,56.7,20.7,44.96,2024-05-14,23,4.4,True,Size Issue,2024-06-07
FB000100,Tops,Mango,Fall,S,Purple,107.65,12.5,94.19,2024-06-17,17,4.3,False,,
FB000101,Tops,Uniqlo,Spring,XS,Gray,116.29,0.0,116.29,2025-11-23,14,3.6,False,,
FB000102,Tops,Ann Taylor,Summer,L,Green,46.45,0.0,46.45,2025-11-19,23,4.3,False,,
FB000103,Shoes,Forever21,Spring,XS,Beige,77.41,0.0,77.41,2024-12-01,35,3.8,False,,
FB000104,Bottoms,Banana Republic,Winter,XXL,Pink,107.91,0.0,107.91,2024-02-08,2,4.3,False,,
FB000105,Tops,Banana Republic,Summer,S,Purple,33.57,15.1,28.5,2025-12-14,47,4.1,False,,
FB000106,Tops,Mango,Winter,XXL,Black,103.37,19.1,83.63,2024-02-03,17,4.5,False,,
FB000107,Bottoms,Gap,Winter,S,Navy,41.92,30.9,28.97,2025-01-02,41,3.7,True,Changed Mind,2025-01-09
FB000108,Accessories,Gap,Summer,XXL,White,56.71,5.3,53.7,2024-12-07,50,4.0,False,,
FB000109,Bottoms,H&M,Summer,XL,White,100.37,24.7,75.58,2024-05-31,49,3.7,False,,
FB000110,Outerwear,Zara,Spring,S,Red,171.84,22.2,133.69,2024-05-14,1,4.7,True,Quality Issue,2024-06-02
FB000111,Shoes,Zara,Fall,M,Green,60.28,6.7,56.24,2025-05-02,4,4.7,False,,
FB000112,Shoes,Banana Republic,Winter,XL,White,191.27,0.0,191.27,2025-11-05,50,3.3,False,,
FB000113,Tops,Zara,Summer,L,Blue,62.63,0.0,62.63,2025-03-30,45,3.0,True,Size Issue,2025-04-10
FB000114,Outerwear,Mango,Summer,S,Pink,186.13,15.7,156.91,2025-09-03,24,3.2,False,,
FB000115,Tops,Forever21,Summer,XXL,Black,105.28,35.4,68.01,2024-08-08,46,2.2,True,Wrong Item,2024-08-22
FB000116,Shoes,Gap,Winter,L,Black,90.01,0.0,90.01,2025-01-18,16,4.5,False,,
FB000117,Dresses,Gap,Summer,XS,Black,65.85,0.0,65.85,2025-01-16,47,2.2,False,,
FB000118,Outerwear,Zara,Spring,XXL,Black,149.84,58.8,61.73,2024-02-22,27,3.1,False,,
FB000119,Outerwear,Uniqlo,Spring,XS,Brown,166.26,0.0,166.26,2024-08-17,30,3.9,False,,
FB000120,Shoes,Ann Taylor,Summer,M,Brown,76.19,13.4,65.98,2025-09-28,49,3.4,False,,
FB000121,Dresses,Zara,Spring,XS,Red,96.46,38.4,59.42,2024-01-07,22,3.7,True,Size Issue,2024-01-29
FB000122,Tops,Banana Republic,Fall,XXL,Beige,117.18,0.0,117.18,2024-08-08,33,2.4,True,Quality Issue,2024-08-14
FB000123,Shoes,Uniqlo,Spring,XL,Brown,53.59,0.0,53.59,2025-09-24,10,4.3,True,Size Issue,2025-10-03
FB000124,Tops,Forever21,Winter,XL,Gray,61.42,0.0,61.42,2024-04-26,32,3.7,False,,
FB000125,Accessories,Uniqlo,Winter,XL,Beige,35.05,0.0,35.05,2024-02-26,38,3.4,True,Changed Mind,2024-03-04
FB000126,Bottoms,Uniqlo,Spring,M,Black,30.93,23.5,23.66,2025-06-29,24,4.9,False,,
FB000127,Outerwear,Ann Taylor,Summer,L,Green,154.16,6.2,144.6,2025-08-12,20,3.4,False,,
FB000128,Tops,Forever21,Spring,XS,Blue,22.09,0.0,22.09,2025-04-16,39,4.8,False,,
FB000129,Shoes,Banana Republic,Winter,XS,White,109.71,6.2,102.91,2024-12-13,19,3.2,True,Changed Mind,2024-12-16
FB000130,Outerwear,Banana Republic,Fall,M,Navy,203.65,36.3,129.73,2024-04-15,15,2.9,True,Quality Issue,2024-04-21
FB000131,Outerwear,Mango,Summer,S,Beige,164.0,35.2,106.27,2025-11-28,28,4.5,False,,
FB000132,Outerwear,Ann Taylor,Spring,S,Gray,91.61,9.5,82.91,2025-08-28,17,3.3,True,Color Mismatch,2025-08-31
FB000133,Shoes,Gap,Winter,XS,Green,99.0,0.0,99.0,2024-04-02,41,4.2,False,,
FB000134,Outerwear,Forever21,Winter,XL,Purple,242.22,20.8,191.84,2025-10-29,36,4.5,True,Color Mismatch,2025-11-14
FB000135,Outerwear,Mango,Summer,L,Black,217.86,39.6,131.59,2025-05-31,5,4.4,False,,
FB000136,Accessories,H&M,Winter,L,Purple,48.98,0.0,48.98,2024-10-16,23,3.5,False,,
FB000137,Shoes,Zara,Spring,XS,Navy,55.12,25.7,40.95,2025-11-03,46,4.0,False,,
FB000138,Outerwear,Mango,Spring,XS,Brown,192.81,46.2,103.73,2025-12-16,41,4.1,False,,
FB000139,Bottoms,Banana Republic,Spring,XL,Blue,107.22,0.0,107.22,2025-11-17,8,2.3,False,,
FB000140,Dresses,Banana Republic,Winter,XL,Navy,53.1,0.0,53.1,2024-12-15,13,4.0,False,,
FB000141,Tops,H&M,Fall,S,Red,27.72,22.0,21.62,2025-07-06,49,4.4,False,,
FB000142,Outerwear,Zara,Spring,XL,Red,181.53,0.0,181.53,2025-12-10,11,4.5,False,,
FB000143,Bottoms,Gap,Summer,L,Navy,111.16,0.0,111.16,2025-09-17,28,4.4,False,,
FB000144,Dresses,Gap,Fall,XL,White,102.61,29.4,72.44,2025-01-11,12,4.0,False,,
FB000145,Outerwear,Gap,Winter,M,Blue,165.49,7.4,153.24,2025-09-11,12,4.4,True,Changed Mind,2025-09-13
FB000146,Dresses,Gap,Spring,XL,Black,170.94,6.9,159.15,2024-06-13,5,3.6,False,,
FB000147,Outerwear,Mango,Winter,XS,White,218.84,58.6,90.6,2024-02-24,26,4.8,True,Size Issue,2024-03-08
FB000148,Accessories,Ann Taylor,Fall,XS,Navy,75.5,33.0,50.58,2024-05-29,50,4.4,True,Size Issue,2024-06-25
FB000149,Tops,Mango,Winter,L,Brown,20.53,0.0,20.53,2024-08-08,16,3.7,False,,
FB000150,Outerwear,Forever21,Summer,M,White,131.2,0.0,131.2,2025-10-16,26,3.8,False,,
FB000151,Tops,Banana Republic,Summer,L,Brown,73.61,13.6,63.6,2024-05-27,45,4.0,False,,
FB000152,Accessories,Ann Taylor,Fall,XL,Blue,27.18,30.5,18.89,2024-03-10,23,4.1,False,,
FB000153,Outerwear,Zara,Winter,L,Green,188.06,45.1,103.24,2024-12-31,1,4.5,False,,
FB000154,Shoes,H&M,Summer,XL,Navy,61.35,10.1,55.15,2024-06-28,41,4.8,False,,
FB000155,Dresses,Gap,Winter,XXL,Red,187.95,0.0,187.95,2025-04-13,49,3.6,True,Size Issue,2025-05-09
FB000156,Bottoms,Zara,Spring,M,Purple,77.79,29.5,54.84,2025-10-24,2,3.7,True,Changed Mind,2025-11-21
FB000157,Accessories,Ann Taylor,Spring,XS,Navy,43.4,11.6,38.37,2024-12-13,24,3.4,False,,
FB000158,Tops,Gap,Spring,XL,Pink,100.11,21.6,78.49,2024-07-03,38,3.4,False,,
FB000159,Shoes,Banana Republic,Summer,M,Beige,87.3,15.8,73.51,2025-12-07,10,4.1,False,,
FB000160,Tops,Zara,Spring,XL,Blue,47.46,59.0,19.46,2025-11-18,4,3.6,False,,
FB000161,Shoes,Mango,Summer,S,Brown,148.49,6.9,138.24,2025-10-22,15,3.6,False,,
FB000162,Tops,Zara,Fall,XXL,Gray,114.88,16.4,96.04,2024-05-20,36,3.7,False,,
FB000163,Tops,Ann Taylor,Spring,S,Black,22.59,0.0,22.59,2025-01-31,33,3.5,False,,
FB000164,Accessories,Uniqlo,Spring,XXL,Gray,28.95,15.4,24.49,2024-07-23,31,3.2,True,Color Mismatch,2024-08-07
FB000165,Bottoms,Gap,Summer,XXL,Navy,110.14,31.0,76.0,2024-11-03,18,4.8,False,,
FB000166,Dresses,Mango,Spring,XL,White,70.63,0.0,70.63,2024-08-30,8,3.5,False,,
FB000167,Accessories,Ann Taylor,Spring,L,Purple,23.44,41.3,13.76,2025-05-05,25,4.0,False,,
FB000168,Tops,Banana Republic,Fall,M,Beige,27.42,12.8,23.91,2025-07-18,8,4.1,False,,
FB000169,Bottoms,Mango,Winter,XL,Green,129.77,9.6,117.31,2024-11-26,10,4.0,False,,
FB000170,Bottoms,Ann Taylor,Spring,XS,Pink,53.56,45.5,29.19,2024-11-06,40,4.6,False,,
FB000171,Accessories,Mango,Fall,S,Beige,55.59,46.8,29.57,2024-02-12,36,3.5,False,,
FB000172,Accessories,Banana Republic,Summer,XXL,Brown,32.2,0.0,32.2,2025-03-02,36,3.1,False,,
FB000173,Accessories,Gap,Spring,XXL,Pink,46.39,33.7,30.76,2025-04-09,19,3.9,True,Size Issue,2025-04-24
FB000174,Tops,Gap,Winter,S,Navy,80.67,0.0,80.67,2024-11-22,45,3.0,False,,
FB000175,Shoes,Forever21,Fall,M,Purple,129.86,0.0,129.86,2024-05-05,29,3.3,True,Quality Issue,2024-05-10
FB000176,Accessories,Zara,Spring,L,Brown,42.18,58.0,17.72,2025-08-14,20,4.9,False,,
FB000177,Bottoms,Mango,Winter,XL,Gray,89.85,0.0,89.85,2024-04-02,1,4.2,False,,
FB000178,Outerwear,Gap,Fall,S,Brown,139.99,0.0,139.99,2025-09-03,31,3.4,False,,
FB000179,Dresses,Gap,Spring,XL,Green,194.02,18.2,158.71,2025-01-09,46,4.5,False,,
FB000180,Shoes,Zara,Winter,XS,Brown,129.89,9.3,117.81,2025-05-31,24,3.2,True,Size Issue,2025-06-27
FB000181,Outerwear,Banana Republic,Fall,XS,Blue,143.44,51.2,70.0,2024-05-27,23,4.4,True,Size Issue,2024-06-13
FB000182,Accessories,Zara,Summer,S,Navy,67.26,7.2,62.42,2024-05-23,32,3.9,False,,
FB000183,Outerwear,Ann Taylor,Fall,L,Brown,205.68,0.0,205.68,2025-06-03,21,4.3,False,,
FB000184,Outerwear,Gap,Spring,L,Green,142.62,39.6,86.14,2024-11-11,37,4.4,False,,
FB000185,Dresses,Zara,Winter,M,Beige,183.09,31.6,125.23,2024-02-22,46,4.2,False,,
FB000186,Bottoms,Forever21,Fall,XXL,White,33.79,42.2,19.53,2025-03-27,1,3.6,True,Size Issue,2025-04-19
FB000187,Bottoms,Forever21,Winter,XXL,Green,114.69,13.4,99.32,2025-05-04,42,3.3,False,,
FB000188,Shoes,Mango,Winter,XL,Navy,127.4,37.4,79.75,2025-10-20,43,3.9,False,,
FB000189,Shoes,Gap,Fall,S,Pink,129.29,0.0,129.29,2024-10-22,19,2.4,False,,
FB000190,Dresses,Gap,Spring,L,Navy,145.28,54.4,66.25,2024-05-04,18,3.8,False,,
FB000191,Outerwear,Forever21,Winter,M,Red,129.38,0.0,129.38,2024-03-21,45,3.9,False,,
FB000192,Tops,Uniqlo,Winter,S,White,102.8,0.0,102.8,2025-12-13,35,3.9,False,,
FB000193,Accessories,H&M,Fall,XS,Beige,73.84,0.0,73.84,2024-02-23,14,3.8,True,Size Issue,2024-03-10
FB000194,Accessories,Mango,Summer,XL,Red,41.45,57.6,17.57,2025-10-28,30,4.1,True,Color Mismatch,2025-11-08
FB000195,Shoes,Zara,Summer,XXL,Brown,77.16,37.0,48.61,2024-06-28,2,3.0,True,Color Mismatch,2024-07-28
FB000196,Accessories,Forever21,Winter,S,Pink,71.99,0.0,71.99,2025-09-09,36,4.0,True,Changed Mind,2025-09-19
FB000197,Tops,Gap,Fall,XL,Gray,47.28,26.6,34.7,2025-04-14,46,3.8,False,,
FB000198,Dresses,Mango,Summer,XXL,Navy,184.43,16.4,154.18,2025-09-17,11,4.2,False,,
FB000199,Tops,Forever21,Spring,XS,Blue,86.93,0.0,86.93,2025-05-03,8,4.0,False,,
FB000200,Bottoms,Zara,Spring,L,White,83.61,0.0,83.61,2024-11-05,21,4.0,False,,
FB000201,Outerwear,Zara,Spring,XXL,Navy,197.77,0.0,197.77,2025-04-21,7,3.6,True,Size Issue,2025-05-08
FB000202,Dresses,Uniqlo,Summer,XXL,Pink,112.48,0.0,112.48,2025-05-04,8,3.8,True,Changed Mind,2025-05-24
FB000203,Shoes,Forever21,Winter,XL,Beige,172.1,33.6,114.27,2024-03-24,38,4.8,False,,
FB000204,Outerwear,Ann Taylor,Summer,XL,Black,90.5,12.6,79.1,2025-07-03,36,4.9,True,Changed Mind,2025-07-31
FB000205,Outerwear,Gap,Summer,XXL,White,201.88,18.5,164.53,2024-02-26,28,4.6,False,,
FB000206,Outerwear,Forever21,Winter,XL,Green,175.0,26.2,129.15,2025-02-09,1,4.0,True,Size Issue,2025-03-05
FB000207,Bottoms,Banana Republic,Summer,L,Navy,114.05,5.9,107.32,2025-04-28,4,3.8,True,Wrong Item,2025-05-04
FB000208,Bottoms,Forever21,Spring,L,Gray,134.35,47.5,70.53,2025-11-08,43,3.0,False,,
FB000209,Bottoms,Ann Taylor,Summer,S,Purple,77.17,0.0,77.17,2024-01-04,14,4.2,False,,
FB000210,Shoes,Gap,Winter,XL,Blue,171.74,0.0,171.74,2024-06-07,22,3.5,False,,
FB000211,Dresses,Banana Republic,Summer,XXL,Blue,154.54,57.8,65.22,2024-07-30,15,2.8,True,Size Issue,2024-08-14
FB000212,Outerwear,Zara,Fall,XXL,Green,148.39,0.0,148.39,2024-02-27,13,4.0,True,Color Mismatch,2024-03-06
FB000213,Dresses,Ann Taylor,Spring,S,Pink,198.96,50.4,98.68,2024-11-03,26,4.9,True,Size Issue,2024-11-22
FB000214,Dresses,Mango,Winter,XL,Gray,57.97,0.0,57.97,2025-11-18,41,3.0,True,Color Mismatch,2025-11-29
FB000215,Dresses,Forever21,Winter,S,Pink,114.0,29.5,80.37,2024-11-03,14,4.1,False,,
FB000216,Bottoms,Gap,Summer,XL,Blue,146.13,7.0,135.9,2024-09-18,15,4.1,False,,
FB000217,Dresses,Banana Republic,Winter,M,Black,141.06,21.0,111.44,2025-11-20,24,4.0,False,,
FB000218,Accessories,Banana Republic,Fall,XL,Beige,51.33,18.0,42.09,2024-11-06,21,4.3,False,,
FB000219,Accessories,H&M,Fall,XXL,Black,63.55,38.3,39.21,2025-09-10,44,3.3,False,,
FB000220,Tops,H&M,Spring,M,Blue,66.63,9.6,60.23,2025-06-09,23,3.7,False,,
FB000221,Tops,Banana Republic,Winter,M,White,57.07,13.4,49.42,2024-05-29,14,4.1,True,Color Mismatch,2024-06-28
FB000222,Outerwear,Forever21,Spring,S,White,136.08,17.5,112.27,2025-07-17,31,3.3,False,,
FB000223,Dresses,Ann Taylor,Spring,L,Beige,175.73,16.0,147.61,2024-06-22,22,3.3,True,Color Mismatch,2024-07-08
FB000224,Bottoms,Zara,Summer,XS,Beige,35.82,0.0,35.82,2025-10-07,8,3.9,True,Changed Mind,2025-10-08
FB000225,Bottoms,Gap,Spring,XS,Brown,106.53,58.3,44.42,2025-05-14,42,3.7,True,Size Issue,2025-05-28
FB000226,Accessories,Zara,Spring,XL,Pink,16.11,33.5,10.71,2024-04-19,11,3.9,False,,
FB000227,Outerwear,Mango,Fall,S,Brown,169.5,25.3,126.62,2024-03-21,25,4.6,False,,
FB000228,Tops,Gap,Fall,XXL,White,50.0,21.6,39.2,2024-02-02,41,4.3,True,Size Issue,2024-02-20
FB000229,Tops,Zara,Summer,XXL,Red,28.27,32.9,18.97,2025-08-02,21,3.7,False,,
FB000230,Accessories,Zara,Fall,S,Brown,45.91,0.0,45.91,2025-12-01,4,4.0,False,,
FB000231,Outerwear,Zara,Fall,M,Green,243.45,16.3,203.77,2025-02-11,45,3.0,False,,
FB000232,Shoes,Mango,Fall,XL,Blue,148.33,10.8,132.31,2024-05-23,47,2.6,False,,
FB000233,Dresses,Banana Republic,Spring,XS,Black,124.31,26.8,90.99,2025-09-20,49,3.9,False,,
FB000234,Tops,Ann Taylor,Summer,XXL,Pink,98.35,8.4,90.09,2025-01-19,35,4.2,False,,
FB000235,Dresses,Forever21,Summer,XL,Pink,185.67,21.6,145.57,2025-01-24,9,4.5,False,,
FB000236,Dresses,Mango,Winter,M,Navy,68.11,0.0,68.11,2025-03-31,19,4.5,False,,
FB000237,Shoes,Banana Republic,Fall,XS,Red,108.96,12.7,95.12,2024-01-27,6,4.5,True,Size Issue,2024-02-16
FB000238,Outerwear,Ann Taylor,Winter,XS,Pink,150.35,34.5,98.48,2024-09-05,35,4.4,False,,
